Codice	Home	Risultati	Versione Sigma
REG34144	https://www.fidal.it/risultati/2024/REG34144/Index.htm	https://www.fidal.it/risultati/2024/REG34144/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33658	https://www.fidal.it/risultati/2024/REG33658/Index.htm	https://www.fidal.it/risultati/2024/REG33658/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34024	https://www.fidal.it/risultati/2024/REG34024/Index.htm	https://www.fidal.it/risultati/2024/REG34024/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34024/RESULTSBYEVENT2.htm	Vecchio
REG33671	https://www.fidal.it/risultati/2024/REG33671/Index.htm	https://www.fidal.it/risultati/2024/REG33671/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33659	https://www.fidal.it/risultati/2024/REG33659/Index.htm	https://www.fidal.it/risultati/2024/REG33659/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33673	https://www.fidal.it/risultati/2024/REG33673/Index.htm	https://www.fidal.it/risultati/2024/REG33673/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33660	https://www.fidal.it/risultati/2024/REG33660/Index.htm	https://www.fidal.it/risultati/2024/REG33660/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33674	https://www.fidal.it/risultati/2024/REG33674/Index.htm	https://www.fidal.it/risultati/2024/REG33674/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33675	https://www.fidal.it/risultati/2024/REG33675/Index.htm	https://www.fidal.it/risultati/2024/REG33675/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34025	https://www.fidal.it/risultati/2024/REG34025/Index.htm	https://www.fidal.it/risultati/2024/REG34025/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34025/RESULTSBYEVENT2.htm	Vecchio
REG33997		Gara non esistente	
REG33592	https://www.fidal.it/risultati/2024/REG33592/Index.htm	https://www.fidal.it/risultati/2024/REG33592/Index.htm	Vecchissimo
REG33676	https://www.fidal.it/risultati/2024/REG33676/Index.htm	https://www.fidal.it/risultati/2024/REG33676/RESULTSBYEVENT1.htm	Vecchio
REG33760	https://www.fidal.it/risultati/2024/REG33760/Index.htm	Non ancora disponibili	Nuovo
REG33797	https://www.fidal.it/risultati/2024/REG33797/Index.htm	https://www.fidal.it/risultati/2024/REG33797/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33666	https://www.fidal.it/risultati/2024/REG33666/Index.htm	https://www.fidal.it/risultati/2024/REG33666/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34127	https://www.fidal.it/risultati/2024/REG34127/Index.htm	https://www.fidal.it/risultati/2024/REG34127/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34127/RESULTSBYEVENT2.htm	Vecchio
REG34169	https://www.fidal.it/risultati/2024/REG34169/Index.htm	https://www.fidal.it/risultati/2024/REG34169/RESULTSBYEVENT1.htm	Vecchio
REG34053	https://www.fidal.it/risultati/2024/REG34053/Index.htm	https://www.fidal.it/risultati/2024/REG34053/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34053/RESULTSBYEVENT2.htm	Vecchio
REG33593	https://www.fidal.it/risultati/2024/REG33593/Index.htm	https://www.fidal.it/risultati/2024/REG33593/Index.htm	Vecchissimo
REG33839	https://www.fidal.it/risultati/2024/REG33839/Index.htm	https://www.fidal.it/risultati/2024/REG33839/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33868	https://www.fidal.it/risultati/2024/REG33868/Index.htm	https://www.fidal.it/risultati/2024/REG33868/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34028	https://www.fidal.it/risultati/2024/REG34028/Index.htm	https://www.fidal.it/risultati/2024/REG34028/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34028/RESULTSBYEVENT2.htm	Vecchio
REG33752	https://www.fidal.it/risultati/2024/REG33752/Index.htm	https://www.fidal.it/risultati/2024/REG33752/Index.htm	Vecchissimo
REG33681	https://www.fidal.it/risultati/2024/REG33681/Index.htm	https://www.fidal.it/risultati/2024/REG33681/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33680	https://www.fidal.it/risultati/2024/REG33680/Index.htm	https://www.fidal.it/risultati/2024/REG33680/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33677	https://www.fidal.it/risultati/2024/REG33677/Index.htm	https://www.fidal.it/risultati/2024/REG33677/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG33677/RESULTSBYEVENT2.htm	Vecchio
REG33858	https://www.fidal.it/risultati/2024/REG33858/Index.htm	https://www.fidal.it/risultati/2024/REG33858/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34128	https://www.fidal.it/risultati/2024/REG34128/Index.htm	https://www.fidal.it/risultati/2024/REG34128/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34128/RESULTSBYEVENT2.htm	Vecchio
REG34029	https://www.fidal.it/risultati/2024/REG34029/Index.htm	https://www.fidal.it/risultati/2024/REG34029/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34029/RESULTSBYEVENT2.htm	Vecchio
REG34234	https://www.fidal.it/risultati/2024/REG34234/Index.htm	https://www.fidal.it/risultati/2024/REG34234/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33667	https://www.fidal.it/risultati/2024/REG33667/Index.htm	https://www.fidal.it/risultati/2024/REG33667/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33668	https://www.fidal.it/risultati/2024/REG33668/Index.htm	https://www.fidal.it/risultati/2024/REG33668/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33703	https://www.fidal.it/risultati/2024/REG33703/Index.htm	https://www.fidal.it/risultati/2024/REG33703/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33871	https://www.fidal.it/risultati/2024/REG33871/Index.htm	https://www.fidal.it/risultati/2024/REG33871/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33840	https://www.fidal.it/risultati/2024/REG33840/Index.htm	https://www.fidal.it/risultati/2024/REG33840/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34054	https://www.fidal.it/risultati/2024/REG34054/Index.htm	https://www.fidal.it/risultati/2024/REG34054/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34054/RESULTSBYEVENT2.htm	Vecchio
REG33761	https://www.fidal.it/risultati/2024/REG33761/Index.htm	https://www.fidal.it/risultati/2024/REG33761/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34032	https://www.fidal.it/risultati/2024/REG34032/Index.htm	https://www.fidal.it/risultati/2024/REG34032/Index.htm	Vecchissimo
REG33859	https://www.fidal.it/risultati/2024/REG33859/Index.htm	https://www.fidal.it/risultati/2024/REG33859/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34115	https://www.fidal.it/risultati/2024/REG34115/Index.htm	https://www.fidal.it/risultati/2024/REG34115/RESULTSBYEVENT1.htm	Vecchio
REG34219	https://www.fidal.it/risultati/2024/REG34219/Index.htm	https://www.fidal.it/risultati/2024/REG34219/Index.htm	Vecchissimo
REG33595	https://www.fidal.it/risultati/2024/REG33595/Index.htm	https://www.fidal.it/risultati/2024/REG33595/Index.htm	Vecchissimo
REG33596	https://www.fidal.it/risultati/2024/REG33596/Index.htm	https://www.fidal.it/risultati/2024/REG33596/Index.htm	Vecchissimo
REG33686		Gara non esistente	
REG33685	https://www.fidal.it/risultati/2024/REG33685/Index.htm	https://www.fidal.it/risultati/2024/REG33685/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34212	https://www.fidal.it/risultati/2024/REG34212/Index.htm	https://www.fidal.it/risultati/2024/REG34212/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34212/RESULTSBYEVENT2.htm	Vecchio
REG34204	https://www.fidal.it/risultati/2024/REG34204/Index.htm	https://www.fidal.it/risultati/2024/REG34204/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34204/RESULTSBYEVENT2.htm	Vecchio
REG34002		Gara non esistente	
REG34205	https://www.fidal.it/risultati/2024/REG34205/Index.htm	https://www.fidal.it/risultati/2024/REG34205/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34205/RESULTSBYEVENT2.htm	Vecchio
REG34213	https://www.fidal.it/risultati/2024/REG34213/Index.htm	https://www.fidal.it/risultati/2024/REG34213/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34213/RESULTSBYEVENT2.htm https://www.fidal.it/risultati/2024/REG34213/RESULTSBYEVENT3.htm	Vecchio
REG34033	https://www.fidal.it/risultati/2024/REG34033/Index.htm	https://www.fidal.it/risultati/2024/REG34033/Index.htm	Vecchissimo
REG33598	https://www.fidal.it/risultati/2024/REG33598/Index.htm	https://www.fidal.it/risultati/2024/REG33598/Index.htm	Vecchissimo
REG33688	https://www.fidal.it/risultati/2024/REG33688/Index.htm	https://www.fidal.it/risultati/2024/REG33688/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG33688/RESULTSBYEVENT2.htm	Vecchio
REG33763	https://www.fidal.it/risultati/2024/REG33763/Index.htm	https://www.fidal.it/risultati/2024/REG33763/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33762	https://www.fidal.it/risultati/2024/REG33762/Index.htm	https://www.fidal.it/risultati/2024/REG33762/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33694	https://www.fidal.it/risultati/2024/REG33694/Index.htm	https://www.fidal.it/risultati/2024/REG33694/Index.htm	Vecchissimo
REG33690		Gara non esistente	
REG33753	https://www.fidal.it/risultati/2024/REG33753/Index.htm	https://www.fidal.it/risultati/2024/REG33753/Index.htm	Vecchissimo
REG33689	https://www.fidal.it/risultati/2024/REG33689/Index.htm	https://www.fidal.it/risultati/2024/REG33689/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG33689/RESULTSBYEVENT2.htm	Vecchio
REG33816	https://www.fidal.it/risultati/2024/REG33816/Index.htm	https://www.fidal.it/risultati/2024/REG33816/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33860	https://www.fidal.it/risultati/2024/REG33860/Index.htm	https://www.fidal.it/risultati/2024/REG33860/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33597	https://www.fidal.it/risultati/2024/REG33597/Index.htm	https://www.fidal.it/risultati/2024/REG33597/Index.htm	Vecchissimo
REG33695	https://www.fidal.it/risultati/2024/REG33695/Index.htm	https://www.fidal.it/risultati/2024/REG33695/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34220	https://www.fidal.it/risultati/2024/REG34220/Index.htm	https://www.fidal.it/risultati/2024/REG34220/Index.htm	Vecchissimo
REG33841	https://www.fidal.it/risultati/2024/REG33841/Index.htm	https://www.fidal.it/risultati/2024/REG33841/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33697	https://www.fidal.it/risultati/2024/REG33697/Index.htm	https://www.fidal.it/risultati/2024/REG33697/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33873	https://www.fidal.it/risultati/2024/REG33873/Index.htm	https://www.fidal.it/risultati/2024/REG33873/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34214	https://www.fidal.it/risultati/2024/REG34214/Index.htm	https://www.fidal.it/risultati/2024/REG34214/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34214/RESULTSBYEVENT2.htm https://www.fidal.it/risultati/2024/REG34214/RESULTSBYEVENT3.htm	Vecchio
REG34208	https://www.fidal.it/risultati/2024/REG34208/Index.htm	https://www.fidal.it/risultati/2024/REG34208/RESULTSBYEVENT1.htm	Vecchio
REG34201	https://www.fidal.it/risultati/2024/REG34201/Index.htm	https://www.fidal.it/risultati/2024/REG34201/Index.htm	Vecchissimo
REG33698	https://www.fidal.it/risultati/2024/REG33698/Index.htm	https://www.fidal.it/risultati/2024/REG33698/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG33698/RESULTSBYEVENT2.htm	Vecchio
REG33803	https://www.fidal.it/risultati/2024/REG33803/Index.htm	https://www.fidal.it/risultati/2024/REG33803/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34129	https://www.fidal.it/risultati/2024/REG34129/Index.htm	https://www.fidal.it/risultati/2024/REG34129/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34227	https://www.fidal.it/risultati/2024/REG34227/Index.htm	https://www.fidal.it/risultati/2024/REG34227/Index.htm	Vecchissimo
REG34035		Gara non esistente	
REG33817	https://www.fidal.it/risultati/2024/REG33817/Index.htm	https://www.fidal.it/risultati/2024/REG33817/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34034	https://www.fidal.it/risultati/2024/REG34034/Index.htm	https://www.fidal.it/risultati/2024/REG34034/Index.htm	Vecchissimo
REG33664	https://www.fidal.it/risultati/2024/REG33664/Index.htm	https://www.fidal.it/risultati/2024/REG33664/Index.htm	Vecchissimo
REG34157	https://www.fidal.it/risultati/2024/REG34157/Index.htm	https://www.fidal.it/risultati/2024/REG34157/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34215	https://www.fidal.it/risultati/2024/REG34215/Index.htm	https://www.fidal.it/risultati/2024/REG34215/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34215/RESULTSBYEVENT2.htm https://www.fidal.it/risultati/2024/REG34215/RESULTSBYEVENT3.htm	Vecchio
REG34130	https://www.fidal.it/risultati/2024/REG34130/Index.htm	https://www.fidal.it/risultati/2024/REG34130/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33819	https://www.fidal.it/risultati/2024/REG33819/Index.htm	https://www.fidal.it/risultati/2024/REG33819/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33701	https://www.fidal.it/risultati/2024/REG33701/Index.htm	https://www.fidal.it/risultati/2024/REG33701/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33700	https://www.fidal.it/risultati/2024/REG33700/Index.htm	https://www.fidal.it/risultati/2024/REG33700/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33704		Gara non esistente	
REG33818	https://www.fidal.it/risultati/2024/REG33818/Index.htm	https://www.fidal.it/risultati/2024/REG33818/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33754	https://www.fidal.it/risultati/2024/REG33754/Index.htm	https://www.fidal.it/risultati/2024/REG33754/Index.htm	Vecchissimo
REG33707	https://www.fidal.it/risultati/2024/REG33707/Index.htm	Non ancora disponibili	Nuovo
REG33939		Gara non esistente	
REG33602		Gara non esistente	
REG33601		Gara non esistente	
REG34237		Gara non esistente	
REG33805		Gara non esistente	
REG34239		Gara non esistente	
REG34426		Gara non esistente	
REG34439		Gara non esistente	
REG33863		Gara non esistente	
REG33755		Gara non esistente	
REG33604		Gara non esistente	
REG33915	https://www.fidal.it/risultati/2024/REG33915/Index.htm	Non ancora disponibili	Nuovo
REG33600		Gara non esistente	
REG34238		Gara non esistente	
REG34240		Gara non esistente	
REG33877		Gara non esistente	
REG34441		Gara non esistente	
REG33941		Gara non esistente	
REG33665		Gara non esistente	
REG34221		Gara non esistente	
REG34400		Gara non esistente	
REG34137		Gara non esistente	
REG34243		Gara non esistente	
REG34242		Gara non esistente	
REG34434		Gara non esistente	
REG34259		Gara non esistente	
REG34229		Gara non esistente	
REG33807		Gara non esistente	
REG33878	https://www.fidal.it/risultati/2024/REG33878/Index.htm	Non ancora disponibili	Nuovo
REG34278		Gara non esistente	
REG33923		Gara non esistente	
REG34436		Gara non esistente	
REG34279		Gara non esistente	
REG33924		Gara non esistente	
REG33757		Gara non esistente	
REG34223		Gara non esistente	
REG33881	https://www.fidal.it/risultati/2024/REG33881/Index.htm	Non ancora disponibili	Nuovo
REG34036		Gara non esistente	
REG34435		Gara non esistente	
REG34246		Gara non esistente	
REG34247		Gara non esistente	
REG34231		Gara non esistente	
REG34224		Gara non esistente	
REG33607		Gara non esistente	
REG33943		Gara non esistente	
REG33926		Gara non esistente	
REG33810		Gara non esistente	
REG33933		Gara non esistente	
REG33932		Gara non esistente	
REG33931		Gara non esistente	
REG34037		Gara non esistente	
REG33500		Gara non esistente	
REG34225		Gara non esistente	
REG33864		Gara non esistente	
REG33765		Gara non esistente	
REG33608		Gara non esistente	
REG34248		Gara non esistente	
REG34324		Gara non esistente	
REG34407		Gara non esistente	
REG33945		Gara non esistente	
REG33934		Gara non esistente	
REG33883		Gara non esistente	
REG33605		Gara non esistente	
REG34232		Gara non esistente	
REG34038		Gara non esistente	
REG34325		Gara non esistente	
REG33946		Gara non esistente	
REG33937		Gara non esistente	
REG34255		Gara non esistente	
REG33936		Gara non esistente	
REG34265		Gara non esistente	
REG34226		Gara non esistente	
REG34039		Gara non esistente	
REG33606		Gara non esistente	
REG33887		Gara non esistente	
REG33501		Gara non esistente	
REG33950		Gara non esistente	
REG33949		Gara non esistente	
REG33948		Gara non esistente	
REG33831		Gara non esistente	
REG33832		Gara non esistente	
REG33953		Gara non esistente	
REG34270		Gara non esistente	
REG34233		Gara non esistente	
COD11716	https://www.fidal.it/risultati/2024/COD11716/Index.htm	https://www.fidal.it/risultati/2024/COD11716/Risultati/IndexRisultatiPerGara.html	Nuovo
COD11701	https://www.fidal.it/risultati/2024/COD11701/Index.htm	https://www.fidal.it/risultati/2024/COD11701/Risultati/IndexRisultatiPerGara.html	Nuovo
COD11603	https://www.fidal.it/risultati/2024/COD11603/Index.htm	https://www.fidal.it/risultati/2024/COD11603/Risultati/IndexRisultatiPerGara.html	Nuovo
COD11507	https://www.fidal.it/risultati/2024/COD11507/Index.htm	Non ancora disponibili	Nuovo
COD11292		Gara non esistente	
COD11508		Gara non esistente	
COD11509		Gara non esistente	
COD11512		Gara non esistente	
COD11515		Gara non esistente	
COD11516		Gara non esistente	
COD11604		Gara non esistente	
COD11520		Gara non esistente	
