,Prestazione,Atleta,Cat.,Anno,Società,Gara
0,7.79,TOGNI Matteo,JM,2006,BG795 BERGAMO STARS ATLETICA,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
1,7.84,GIACALONE Nicolo',SM,1997,VE471 ASD ATLETICA BIOTEKNA,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
2,7.85,NAIDON Lorenzo,SM,1999,RM056 G.A. FIAMME GIALLE,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
3,7.86,TRGOVCEVIC Luca,SM,1992,SRB SERBIA,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
4,7.88,FILPI Giuseppe,SM,2001,BA754 G.S. AVIS BARLETTA A.S.D.,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
5,7.91,DENTATO Damiano,PM,2004,RI223 ATL.STUD. RIETI ANDREA MILARDI,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
6,7.94,DESTER Dario,SM,2000,BO011 C.S. CARABINIERI SEZ. ATLETICA,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
7,7.97,GHEDINA Vittorio,PM,2004,MI770 ATLETICA MENEGHINA,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8,8.06,FERRANTE Francesco,SM,1996,FI002 ATLETICA FIRENZE MARATHON S.S.,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
9,8.07,MULAS Oliver,PM,2004.0,IM029 ASD MAURINA OLIO CARLI,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
10,8.09,DI PANFILO Mattia,SM,1999,RM363 SSD NISSOLINO SPORT SRL ASU,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
11,8.1,SANTAHUHTA Pyry(I),SM,1999,ZZ002 FINLANDIA,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
12,8.1,DEL TORRE Riccardo,SM,1997,PN039 ATL BRUGNERA PN FRIULINTAGLI,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
13,8.15,CAIANI Andrea,PM,2003,MI774 TEAM-A LOMBARDIA,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
14,8.16,BENUZZI Enrico,PM,2002,BO506 A.S.D. PONTEVECCHIO BOLOGNA,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
15,8.17,ROSSI Ernesto,PM,2004,TR024 ASS.ATL.LIBERTAS ORVIETO,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
16,8.18,PIAZZALUNGA Federico,SM,2000.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
17,8.2,BRESOLIN Manuel,PM,2004.0,TV354 TREVISATLETICA,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
18,8.26,CARUGATI Alessandro,PM,2004,VA119 ATL. O.S.A. SARONNO LIB.,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
19,8.26,COREN Simone,PM,2003,UD030 ATLETICA MALIGNANI LIBERTAS UD,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
20,8.28,MARCONI Francesco,SM,1995,TV354 TREVISATLETICA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
21,8.28,CECCHET Nicolas,PM,2003,BL009 ATHLETIC CLUB FIREX BELLUNO,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
22,8.31,GOHO DISEYSSON Junior t,SM,2001,CO208 ATL. LECCO-COLOMBO COSTRUZ.,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
23,8.32,BRINI Michele,SM,1998,BO014 ATL. IMOLA SACMI AVIS,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
24,8.33,ADORNI Gabriele,PM,2002,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
25,8.35,POUYE Mouhamed,PM,2003.0,MO052 A.S. LA FRATELLANZA 1874,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
26,8.37,DE PAOLI Federico,PM,2002,BL012 ANA ATL.FELTRE,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
27,8.39,FALASCA Riccardo,SM,1997,TE138 ASD ATLETICA GRAN SASSO TERAMO,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
28,8.39,CABRAS Maurizio,PM,2004.0,OR030 SS ATL ORISTANO,https://www.fidal.it/risultati/2024/REG33752/Gara020.htm
29,8.41,ARCIDIACONO Daniele,PM,2004,FG202 U.S. FOGGIA ATL. LEGGERA,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
30,8.43,GATTO Andy,SM,1999,CN020 A.S.D. ATLETICA ROATA CHIUSANI,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
31,8.44,GOHO DISEYSSON Junior T,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
32,8.46,PORCU Leonardo,PM,2002,MI080 ATL. RICCARDI MILANO 1946,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
33,8.47,ZAMPESE Giacomo,SM,2000,VE471 ASD ATLETICA BIOTEKNA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
34,8.47,GNOCCHI Edoardo,SM,2001.0,VA123 CUS INSUBRIA VARESE COMO,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
35,8.5,CIOCCOLONI Claudio,SM,1996,RM555 A.S.D. ATLETICA FUTURA ROMA,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
36,8.5,DAL POZZO Mattia,PM,2003,VE471 ASD ATLETICA BIOTEKNA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
37,8.5,VICENTINI Pietro,SM,1999,VR761 ATL. INSIEME VERONA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
38,8.52,SARGENTI Andrea,SM,1994,TR024 ASS.ATL.LIBERTAS ORVIETO,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
39,8.53,PATERNOSTRO Riccardo,PM,2003,RM046 ASD ACSI ATLETICA CAMPIDOGLIO,https://www.fidal.it/risultati/2024/REG33803/Risultati/Gara422.html
40,8.53,SABATIELLO Michele,PM,2002,BA091 ADEN EXPRIVIA DAI OPTICAL MOLF,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
41,8.54,ZAVARESCO Giulio,PM,2004,UD030 ATLETICA MALIGNANI LIBERTAS UD,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
42,8.54,CERRATO Andrea,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
43,8.54,DI MARCO Yuri(FC),SM,1996,SS220 A.S.D. ICHNOS SASSARI,https://www.fidal.it/risultati/2024/REG33803/Risultati/Gara422.html
44,8.59,DI DONATO Emanuele,SM,1999,CH173 A.S.D. PIETRO MENNEA ATLETICA,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
45,8.59,PATERNI Mattia,PM,2002.0,LU100 A.S. ATLETICA VIRTUS LUCCA,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
46,8.63,ARCILASCO Flavio guido,PM,2004,TO226 SAFATLETICA PIEMONTE ASD,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
47,8.64,MAZZANTI Andrea,SM,1993.0,BO014 ATL. IMOLA SACMI AVIS,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
48,8.66,DI NOLA Salvatore,JM,2006,RM363 SSD NISSOLINO SPORT SRL ASU,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
49,8.66,GATTINONI Matteo,PM,2002,BS575 ATL. VIRTUS CASTENEDOLO,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
50,8.66,BINI Lorenzo,PM,2002.0,FI018 TOSCANA ATLETICA JOLLY,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
51,8.67,GOBBI Alessandro,PM,2003.0,TN109 U.S. QUERCIA DAO CONAD,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
52,8.7,CAMPIUTTI Jacopo,SM,1999,UD030 ATLETICA MALIGNANI LIBERTAS UD,https://www.fidal.it/risultati/2024/REG33873/Risultati/Gara420.html
53,8.7,QUINTI Federico,SM,1999.0,LI038 CENTRO ATLETICA PIOMBINO,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
54,8.71,BIANCHI Simone,PM,2004,BG003 ATL. BERGAMO 1959 ORIOCENTER,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
55,8.74,BANO Massimo,PM,2002,PD146 ATLETICA LIB. S.A.N.P.,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
56,8.75,ORSATTI Matteo,SM,1997.0,PR068 C.U.S. PARMA,https://www.fidal.it/risultati/2024/REG33597/Gara020.htm
57,8.77,ALIPRANDI Luca,SM,2001.0,MI054 U.S. ATL. VEDANO,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
58,8.78,CELANI Michele,PM,2002.0,FI002 ATLETICA FIRENZE MARATHON S.S.,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
59,8.8,BAZZA Leonardo,PM,2003,VA119 ATL. O.S.A. SARONNO LIB.,https://www.fidal.it/risultati/2024/REG33697/Risultati/Gara055.html
60,8.84,GAVAZZENI Matteo,PM,2003,BG003 ATL. BERGAMO 1959 ORIOCENTER,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
61,8.85,PANCALDI Emanuele,PM,2004,BO506 A.S.D. PONTEVECCHIO BOLOGNA,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
62,8.85,DOZIO Matteo,SM,1998.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
63,8.88,TESI Lorenzo,PM,2004.0,PO149 ASD ATLETICA PRATO,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
64,8.88,MENGHI NDIAYE Yoro,PM,2002,MO052 A.S. LA FRATELLANZA 1874,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
65,8.89,CORONA Lorenzo,SM,1999,BL001 ATL.LONGARONE SINTECO,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
66,8.94,VANCHETTI Andrea,PM,2003.0,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
67,8.94,NICOLA Riccardo,SM,1998,VC020 G.S. ERMENEGILDO ZEGNA,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
68,8.95,TIRABOSCHI Cristiano,PM,2004,BG795 BERGAMO STARS ATLETICA,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
69,8.96,FERRINI Giulio,PM,2004.0,SI043 UISP ATLETICA SIENA,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
70,9.07,PARSANI Luca,SM,2001.0,BG036 ATL. SALETTI,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
71,9.09,CLEMENTE Mattia,PM,2003,UD503 GEMONATLETICA S.R.L. DIL.,https://www.fidal.it/risultati/2024/REG33873/Risultati/Gara420.html
72,9.11,FRAGIACOMO Jan,SM,2000,TN131 LAGARINA CRUS TEAM,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
73,9.14,MANSANI Lorenzo,SM,1995.0,LI038 CENTRO ATLETICA PIOMBINO,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
74,9.14,RAI Luca,SM,2000,TS044 TRIESTE ATLETICA,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
75,9.17,ROCCO Mattia,SM,2001,CN005 ATL. MONDOVI'-ACQUA S.BERNARDO,https://www.fidal.it/risultati/2024/REG33860/Risultati/Gara109.html
76,9.18,LOMBARDI Tommaso,PM,2004,TO226 SAFATLETICA PIEMONTE ASD,https://www.fidal.it/risultati/2024/REG33860/Risultati/Gara109.html
77,9.19,ARTUSO Amos,PM,2004,VI614 GRUPPO ATLETICO BASSANO 1948,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
78,9.23,DEMICHELIS Simone,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
79,9.24,FALUGIANI Niccolo',PM,2004.0,FI009 PROSPORT ATL. FIRENZE,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
80,9.24,ZOZZI Giacomo,PM,2004,FC038 EDERA ATL. FORLI,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
81,9.26,LIN Luca,PM,2003.0,OR225 DINAMICA SARDEGNA,https://www.fidal.it/risultati/2024/REG33752/Gara020.htm
82,9.27,IRRERA Lorenzo,SM,1998,RM046 ASD ACSI ATLETICA CAMPIDOGLIO,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
83,9.31,MORIGI Lorenzo,SM,2000,BO506 A.S.D. PONTEVECCHIO BOLOGNA,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
84,9.37,MARCONE Andrea,PM,2004.0,NA061 A.S.D. C.U.S. NAPOLI,https://www.fidal.it/risultati/2024/REG34127/Gara020.htm
85,9.39,MAGGIONI Giacomo,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
86,9.4,AVANZINI Giacomo,SM,2001.0,PR068 C.U.S. PARMA,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
87,9.42,PERUCH Filippo,PM,2003,TV409 VITTORIO ATLETICA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
88,9.49,RICCI Gabriele,PM,2004,BO014 ATL. IMOLA SACMI AVIS,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
89,9.51,COSTOSI Lorenzo,SM,1999,RE105 G.S.SELF ATL. MONTANARI GRUZZA,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
90,9.73,FINCO Andrea,PM,2003,VI626 ATL.VICENTINA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
91,9.87,BUCCI Paolo,PM,2002.0,SI361 ATLETICA 2005,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
92,10.03,SHENELENKO Onysym,SM,1994,PE001 ASD U.S. ATERNO PESCARA,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
93,10.11,RIBERI Alberto,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
94,10.18,APARO Paolo,PM,2003,SR248 SIRACUSATLETICA,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
95,10.87,DE SANTIS CAPITANIO Cri,PM,2004,FR256 CUS CASSINO,https://www.fidal.it/risultati/2024/REG33797/Risultati/Gara722.html
96,11.57,MATTONE Andrea,SM,1995,NO020 TEAM ATLETICO-MERCURIO NOVARA,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
97,12.62,BAITELLI Raffaello,SM55,1967,BG511 ATL. VALLE IMAGNA,https://www.fidal.it/risultati/2024/REG33697/Risultati/Gara055.html
